en,ko
Tom lied.,톰이 거짓말했어.
It's nothing special.,별로 특별할 것도 없다.
No one listened to me.,아무도 내 말을 듣지 않았다.
I'm not as busy as Tom.,나는 톰만큼 바쁘지는 않다.
I'm sick of this.,이거 지긋지긋하다.
Don't act like you're so innocent.,너 그렇게 순수한 척 하지 마.
What language do you speak at home?,집에서 무슨 언어로 말해?
Let's just be friends.,우리 그냥 친구로 지내자.
This is fun.,이거 재밌네.
It only weighs 3 kilograms.,3킬로그램밖에 되지 않는다.
Oranges are rich in vitamin C.,오렌지는 많은 비타민C를 함유하고 있다.
It won't be long before the sun rises.,해가 뜨기까지는 그리 오래 걸리지 않을 것이다.
Move quietly.,조용히 움직여.
"While napping, I had a strange dream.",낮잠자는 도중에 나는 이상한 꿈을 꿨어.
I don't think this is going to work.,이건 안 될 것 같다.
Say nothing.,아무 말도 하지 마.
I still don't think it's fair.,난 아직도 이게 공평하다고 생각하지 않아.
My work is not as easy as yours.,내가 하는 일은 네가 하는 것처럼 쉽지 않아.
"Beef, please.",쇠고기요.
Tom is obviously wrong.,톰은 분명히 틀렸어.
Was the bank closed?,은행 문 닫혀 있었어?
French is fascinating.,프랑스어는 매력적이야.
This is the law of the jungle.,이것이 정글의 법칙이야.
I'm feeling a bit tired.,조금 피곤한 기분이야.
This is my favorite cocktail.,이것은 내가 제일 좋아하는 칵테일이다.
Somebody laughed.,누군가 웃었어.
It's dark in the basement.,지하실은 어두워.
Stop crying.,그만 울어.
Women are often judged by their looks.,여자들은 자주 외모로 평가된다.
Do you believe God exists?,너는 신이 존재한다고 믿니?
Can't you give me a lower price?,더 깎아주실 수는 없나요?
I didn't think Tom knew how to drive.,톰이 운전하는 방법을 알고 있을 줄은 몰랐어.
Tom hired a lawyer.,톰은 변호사를 고용했다.
Physics is a branch of science.,물리는 과학의 한 갈래에 속해.
Am I older than you?,내가 너보다 나이가 많아?
Tom hasn't eaten at a restaurant since he lost his job.,톰은 직업을 잃은 뒤로 레스토랑에서 식사한 적이 없어.
Is there a zoo in Boston?,보스턴에 동물원이 있습니까?
A good idea occurred to him.,그에게 좋은 생각이 떠올랐다.
God bless you all.,신의 가호가 있길.
"You had bacon and eggs for breakfast, didn't you?","아침에 베이건이랑 달걀 먹었잖아, 그치?"
Let's not panic.,당황하지 말자.
Some people believe in God and others don't.,신을 믿는 사람들도 있고 아닌 사람도 있어.
Tom is having a hard time speaking.,톰은 말하는 데 어려움을 겪고 있어.
Tom gave me a harmonica for Christmas.,톰은 크리스마스 선물로 나한테 하모니카를 줬어.
I don't understand.,이해가 안돼.
I've lost.,내가 졌다.
Tom speaks French with his parents.,톰은 자기 부모님이랑 프랑스어로 말해.
Tom should be here within fifteen minutes.,톰은 십오분 안에 여기에 있어야 해.
There are few men who don't know that.,그 사실을 모르는 사람은 별로 없었다.
Tom doesn't eat dessert.,톰은 디저트를 안 먹는다.
How did you spend your winter vacation?,겨울 방학은 어떻게 지냈나요?
I thought you said you'd help us do that.,우릴 도와주겠다고 하신 줄 알았습니다.
It's all over now.,이제 다 끝났어.
Tom's injuries aren't very serious.,톰 다친 곳은 그다지 심각하지 않네.
What are you doing that for?,그런 걸 하는 이유가 뭐야?
I can't stand that noise.,나는 저 소음을 참을 수 없다.
Tom used to be a primary school teacher.,톰은 한때 초등학교 선생님이었었어.
I heard Tom shout.,난 톰이 소리지르는 걸 들었어.
The picture is in black and white.,이 그림은 흑백이다.
Tom has learned a few words in French.,톰은 프랑스어를 몇 마디 배웠어.
I want you to work with Tom.,난 네가 톰이랑 같이 일했으면 좋겠어.
Could anyone tell me where Tom is?,톰이 어디있는지 알려줄 사람 있을까?
It was a beautiful sunny day.,아름답고 화창한 날이었다.
I didn't know that Tom was a cocaine addict.,톰이 코카인 중독자였다니 몰랐어.
Tom helped.,톰이 도와줬어.
I wish I were an only child.,내가 외동이었으면 좋았을 텐데.
Is that a spider?,이거 거미야?
Tom didn't move a muscle.,톰은 움직이지 않았다.
I think the mistake is mine.,이건 내탓인 것 같아.
Tom's speech was good.,톰이 한 연설은 좋았다.
It's not Tom's problem.,톰의 문제가 아니다.
Most people think I'm crazy.,대부분의 사람들은 내가 미쳤다고 생각해
"You think you're awake, but you may, in fact, be dreaming.","넌 네가 깨어있는 줄 알지만, 사실은 꿈꾸고 있을 수도 있어."
I'm sorry.,유감입니다.
This isn't a French word.,이건 프랑스어 단어가 아니야.
How nice!,정말 멋있다!
Forget me.,날 잊어버려.
There's no reason to panic.,혼란에 빠질 어떠한 이유도 없다.
Tom is suffering from insomnia.,톰은 불면증에 시달리고 있어.
When will you come?,언제쯤 올거야?
Save it for later.,나중을 위해 아껴둬.
Tom dyed his hair green.,톰은 머리를 초록색으로 염색했어.
They live in this town.,그들은 이 마을에 산다.
Napoleon marched his armies into Russia.,나폴레옹은 군대를 러시아로 진격시켰다.
Tom is allowed to stay. The rest of you have to leave.,톰은 남아 있어도 돼. 너희 나머지는 떠나야 해.
I heard an unusual sound.,나는 이상한 소리를 들었다.
We're college students.,우리는 대학생이다.
Do you want to try it?,도전해보고 싶어?
Tom seems a little dangerous.,톰은 약간 위험해 보여.
Tom exhaled.,톰이 날숨을 쉬었어.
I think Tom is loyal.,난 톰이 의리있다고 생각한다.
I think that Tom missed the train.,톰이 기차를 놓친 것 같아.
It was the most frightening experience that I've ever had.,내가 경험했던 것 중에 가장 무서운 경험이었어.
Are you still alone?,너 아직도 혼자야?
I help him.,나는 그를 돕고 있다.
I wanted Tom to meet my parents.,난 톰이 내 부모님을 만났으면 했어.
Anybody here?,누구 있어?
Don't lie.,거짓말 하지 마세요.
Tears filled her eyes.,그녀의 눈이 눈물로 가득했다.
"Tom got first prize, didn't he?","톰이 1등했지, 그치?"
I'm a little confused.,좀 헷갈리네요.
That's horrible.,끔찍하네.
What do you like?,뭘 좋아해?
Have you ever been to Europe?,유럽에 가본 적 있어?
I can't hate you.,내가 널 어떻게 미워하겠니.
Grab him.,그를 잡아.
Tom met a friend of Mary's at the airport.,톰은 메리의 친구를 공항에서 만났다.
I don't like chocolate.,나는 초콜렛을 좋아하지 않아.
Why are you still working?,왜 아직도 일하고 있어?
The signal turned green.,신호는 초록색으로 바뀌었어.
You know it doesn't matter.,상관없는 거 알잖아.
Tom said that he was OK.,톰은 괜찮대.
Tom held his breath.,톰은 숨을 참았어.
Have you met any Canadians here in Boston?,여기 보스턴에서 캐나다 사람을 만난 적이 있나요?
Tom did that on his birthday.,톰이 그걸 자기 생일 때 했다더라.
What should you do if you find a big spider on your bed?,커다란 거미를 침대에서 발견하면 어떻게 해야해?
Tom had plenty of help.,톰은 많은 도움을 받았다.
Are you just going to stand there?,너 거기 그냥 서있을 거야?
I called the police.,나는 경찰을 불렀다.
What fun!,이렇게 재미있을 수가!
I want to talk to all of them.,나는 그들 모두와 이야기하고 싶다.
There's a full moon tonight.,오늘밤은 보름달이 떴어.
Tom made me a cake.,톰이 날 위해 케이크를 만들었어.
No river in the world is longer than the Nile.,나일강만큼 긴 강은 세상에 없다.
I'm tired of watching TV.,나는 티브이 보느라 지쳤다.
Quit gambling.,도박 그만해.
Tom was acting weird.,톰은 이상하게 굴고 있었어.
I wanted red shoes.,빨간색 신발을 원했어.
What I want now is hot coffee.,내가 지금 원하는 건 따끈한 커피야.
Where is today's paper?,오늘자 신문은 어디 있습니까?
I started a new blog. I'll do my best not to be one of those people who blogs a lot right at the start and then quits blogging.,난 블로그를 시작했어. 블로그를 초반에만 반짝 많이 하다가 관두는 사람처럼은 되지 않으려고 최선을 다할 거야.
I wish you happiness.,행복을 빈다.
Why don't we just reformat the hard disk? You've been having a lot of trouble with it.,우리 그냥 하드 디스크를 새로 포맷하는 건 어때? 너무 그걸로 스트레스 많이 받고 있잖아.
I actually play the piano pretty well.,난 사실 피아노를 꽤 잘 쳐.
I'll follow your advice.,네 조언을 따를게.
Freeze!,꼼짝마!
What's your wish?,네 소원이 무엇이냐?
Everybody knows.,모두가 알고 있어.
I've finished the job.,다 끝냈어.
I'm sorry that I acted like a jerk.,망나니처럼 행동해서 미안해.
They're green.,초록색이야.
I live in a small apartment.,나는 작은 아파트에 살아요.
I feel bad.,기분이 별로야.
Greta Garbo was a Swedish actress.,그레타 가보는 스웨덴의 여배우이다.
This is a serious problem.,이건 중대한 문제야.
Work slowly.,쉬엄쉬엄 일해.
Please think about it.,생각해 주세요.
Do you know how long Tom is going to be in Boston?,톰이 얼마나 보스턴에 있을지 알아?
We need to make some adjustments.,우린 좀 적응을 해야겠어.
I think that Tom is a workaholic.,톰은 일 중독자인 것 같아.
I don't see what the problem is.,뭐가 문제인지 모르겠다.
We ate eggs.,우리는 계란을 먹었다.
Tom vomited blood.,톰은 피를 토했다.
I knew a shortcut to Tom's house.,난 톰 집의 지름길을 알고 있었어.
Nice shot!,나이스 샷!
"Yes, I kissed him.",그래. 그 남자와 키스했어.
I need first aid.,나에게 응급처치가 필요하다.
There are a lot of animals in the park.,공원에 동물이 많다.
Tell everybody.,모두에게 말해.
I volunteered.,나는 자원했다.
Your advice has been very helpful.,네 조언은 정말 도움이 되었어.
I envy him.,그 사람이 부러워.
I didn't think Tom would be scared.,톰이 겁먹을 것이라고는 생각 못했어.
They're amateurs.,걔네 초짜야.
Don't put your hands out the window.,창밖으로 손을 내밀지 마세요.
"Where are we going, Tom?","우리 어디로 가는 거야, 톰?"
Life is never easy.,사는게 쉽지가 않아.
We speak French.,우리는 프랑스어를 한다.
Is that a bird?,저거 새야?
You should exercise more.,너 운동 좀 더 해야겠어.
Why are you always so sleepy?,넌 왜 항상 그렇게 졸려해?
Tom saw through my lie.,톰은 나의 거짓말을 간파했다.
"If the price is reasonable, I want to buy the car.",가격이 적당하다면 그 차를 사고 싶다.
Please have a seat.,앉아 계세요.
See above.,위를 보세요.
Leave me in peace!,저를 내버려 두세요!
He sang and sang.,그는 노래를 부르고 또 불렀다.
He reads the newspaper every morning.,그는 매일 아침 신문을 본다.
Tom doesn't know what he has to do.,톰은 그가 뭘 해야 할지 모른다.
He's autistic.,그 사람은 자폐성향이 있어.
That'll teach you a lesson.,그건 너한테 교훈을 줄 거야.
"Tom doesn't want to sing, but he has to.",톰은 어쩔 수 없이 노래를 불러야 해.
When was the last time you went canoeing?,가장 최근에 카누를 탄 적이 언제야?
Please take me to the hospital.,병원으로 데려다 주세요.
Is this fake?,이것은 가짜인가요?
Tom has been rather busy these days.,톰은 요즘 들어 꽤 바빴다.
I'm getting really tired.,나는 정말 피곤해지고 있다.
Let's move the bed.,침대를 옮기자.
"If we don't thoroughly examine the cause of bullying, bullying will probably never go away.","우리가 따돌림의 원인을 철저히 조사하지 않는다면, 따돌림은 결코 사라지지 않을 것이다."
How beautiful!,이렇게나 아름다울 수가!
We need to know what we're supposed to do on Monday.,우리는 월요일에 뭘 해야 하는지 알아야 해.
He smiled.,그 사람은 미소지었어.
"I knew that Tom was just a freshman, so I was surprised to see him hanging out with seniors.","난 톰이 그냥 신입생일 뿐이라고만 알았는데, 그러다보니 톰이랑 선배들이 서로 어울려다니는 걸 보고 놀랐어."
"By the way, have you done your homework?","그나저나, 숙제는 다 했니?"
I have a hard time remembering names.,나는 이름을 외우는 게 힘들어.
We study the past for the sake of the future.,우리는 미래를 위해 과거를 공부해.
Face facts!,진실을 마주해!
Nobody knew about it.,아무도 그것에 대해선 몰랐어.
He will return within 3 hours.,그는 3시간 내에 돌아올 것이다.
Tom is an orphan.,톰은 고아야.
Do you want me to sing?,내가 노래 불러줬으면 좋겠어?
Look around.,둘러봐.
He is tall.,그 사람은 키가 커.
I told Tom to buy a new computer.,난 톰한테 새 컴퓨터를 사라고 말했어.
That's old news.,그것은 오래된 소식이다.
Happy Easter!,행복한 부활절 되세요!
The room was quiet.,방은 조용했어.
Is this ethical?,이거 윤리적이야?
The sky is clear.,하늘이 맑다.
I'm sorry.,미안해.
I'm looking for something.,뭔가 찾고 있다.
Tom thanked Mary for the bottle of wine she gave him.,톰은 메리가 그에게 준 와인 한 병에 대하여 메리에게 감사함을 표시했다.
I used to be poor like you.,나는 너처럼 가난했었다.
Tom and Mary do as they're told.,톰과 메리는 시키는 대로 한다.
I'll buy that.,제가 살게요.
The keys were in my bag.,열쇠는 내 가방에 있었다.
Choose one.,하나 골라.
Don't touch the flowers.,꽃에 손대지 마세요.
Three more passengers got on the bus.,버스에 승객이 세 명 더 탔다.
Doctors use medical equipment.,의사는 의료도구를 사용해.
Can you help me a little?,조금 도와주실 수 있습니까?
I really should've called.,난 진짜 불렀어야 했는데.
Squirrels often chase other squirrels.,다람쥐는 가끔 다른 다람쥐를 쫓아다니곤 해.
I don't think that Tom has to do that anymore.,톰이 더이상 그것을 하지않아도 될것 같아.
Hurry up.,서둘러.
Shall I help you?,도움이 필요하신가요?
Tom hates spiders.,톰은 거미를 싫어해.
Do you know why I'm here?,내가 왜 여기있는지 알아?
Stay back.,물러서 있어.
That isn't an option.,선택 사항이 아니야.
Tom chuckled.,톰이 싱긋 웃었어.
The gravity of the moon is one-sixth of that of the earth.,달의 중력은 지구의 1/6배야.
Did you draw this yourself?,이거 네가 직접 그렸어?
Tell me.,말해.
"You lied to me, didn't you?",절 속이셨죠?
Apples are red.,사과는 빨개.
I'm not inspired anymore.,나는 더 이상 영감을 받지 못한다.
They smiled.,그들이 웃었어.
He ordered them to release the prisoners.,그는 그들에게 죄수들을 풀어주라고 명령했다.
Tom and I first met in 2013.,나랑 톰은 2013년도에 처음 만났어.
I hate liars.,난 거짓말쟁이가 싫어.
"I don't like cookies, either.",난 쿠키도 안 좋아해.
Don't forget to sign your name.,서명하는 것을 잊지 마세요.
Are you really willing to help?,진짜로 도와줄 마음이 있어?
It's good.,좋아요.
Does acupuncture really work?,침술이 정말로 효과가 있어?
Tom was diagnosed with autism when he was three years old.,톰은 세 살 때 자폐증으로 진단받았어.
How strange!,참 이상하네!
What convinced you to change your mind?,뭐 때문에 네 마음이 바뀌었어?
The glass was broken by someone.,유리컵이 누군가에 의해 부서졌다.
I don't have a TV at home.,집에 TV가 없어요.
"You are not a good person. You know that, right?",넌 그다지 좋은 사람이 아냐. 너도 그건 알고 있지?
The world is a dangerous place.,세상은 위험한 곳이다.
Have you ever been fired from a job?,너 직장에서 해고당한 적 있어?
Did you take the book back to the library?,그 책을 도서관에 반납했어?
We don't lie.,우리는 거짓말을 하지 않아요.
Tom and I had French class together.,난 톰이랑 같이 프랑스 수업을 들었어.
I'm at school.,난 학교에 있어.
We graduate from high school at eighteen.,우리는 18살에 고등학교를 졸업합니다.
You can't imagine how hard it was for Tom.,이게 얼마나 톰에게 어려웠는지 상상도 못 할 걸?
Tom lost his eyesight.,톰은 시력을 잃어버렸다.
I didn't know that you loved Tom so much.,네가 톰을 그렇게 사랑할 줄은 몰랐어.
I have nothing to lose.,손해 볼 게 없다.
I need your advice on what I should do next.,다음으로 뭘 해야 할지 당신의 조언이 필요하다.
Where is a doctor?,박사님은 어디 계세요?
We can't give up.,우린 포기할 수 없어.
I didn't know you used to teach French.,나는 네가 프랑스어를 가르쳤는지 몰랐어
That made me curious.,저게 날 궁금하게 하네.
When did these delusions first occur?,언제 망상증상이 처음으로 생겼어?
"Upon hearing the news, she broke down crying.",그녀는 그 소식을 듣자마자 울음을 터뜨렸다.
The victory is ours.,승리는 우리의 것이다.
I want Tom.,난 톰을 원해.
Tom sleeps all the time.,톰은 맨날 잠만 자.
Tom will never forgive you.,톰은 절대로 당신을 용서하지 않을 것이다.
She says she likes flowers.,그녀는 꽃을 좋아한다고 말했다.
Where will you go?,어디로 갈 거야?
Do you want to look into it?,살펴보고 싶어?
Would you please just go away?,그냥 사라져 주실래요?
I never should've borrowed money from Tom.,난 톰한테 돈을 절대 빌리지 말았어야 했는데.
I met Tom in the library.,난 톰을 도서관에서 만났어.
I phoned.,나는 전화했다.
How interesting!,이렇게나 흥미롭다니!
I've never heard of this actor.,이 배우는 처음 들어본다.
She asked me if I knew his address.,그녀는 나에게 이 주소를 아는지 물어봤다.
Hold on a second.,잠깐만 기다려.
You're overqualified for this job.,이 일을 하기에는 너무 고급 인력인데.
"Doubtless there exists in this world precisely the right woman for any given man to marry and vice versa; but when you consider that a human being has the opportunity of being acquainted with only a few hundred people, and out of the few hundred that there are but a dozen or less whom he knows intimately, and out of the dozen, one or two friends at most, it will easily be seen, when we remember the number of millions who inhabit this world, that probably, since the earth was created, the right man has never yet met the right woman.","의심의 여지 없이 세상에는 어떤 남자이든 정확히 딱 알맞는 여자와 결혼하거나 그 반대의 상황이 존재하지. 그런데 인간이 수백 명의 사람만 알고 지내는 사이가 될 기회를 갖는다고 생각해 보면, 또 그 수백 명 중 열여 명 쯤 이하만 잘 알 수 있고, 그리고 나서 그 열여 명 중에 한두 명만 친구가 될 수 있다면, 그리고 또 만일 우리가 이 세상에 살고 있는 수백만 명의 사람들만 기억하고 있다면, 딱 맞는 남자는 지구가 생겨난 이래로 딱 맞는 여자를 단 한번도 만난 적이 없을 수도 있을 거라는 사실을 쉽게 눈치챌 수 있을 거야."
Tom is quite motivated.,톰은 꽤 동기부여가 되어 있어.
I did my best.,나는 최선을 다했다.
We have many varieties of coffee.,우리는 다양한 종류의 커피를 구비하고 있어.
I'm beginning to forget my French.,난 프랑스어를 잊어버리기 시작했어.
I suspect that Tom doesn't want to do that.,내 생각엔 톰이 저걸 하고 싶어하지 않는 것 같아.
It is not impossible.,불가능하지 않다.
What scares you most?,뭐가 제일 무서워?
I hope Tom knows what to say.,톰이 어떤 말을 해야할지 알고있길 바라.
He loves going to the theater.,그는 극장에 가길 좋아한다.
Don't call me again.,다시는 연락하지 마.
I called Tom this morning.,나는 오늘 아침 톰에게 전화했다.
It isn't fair to keep Tom in the dark.,톰을 아무것도 모르도록 두는 건 공정하지 않아.
May I have this magazine?,이 잡지 내가 가져도 돼?
She suffers from low blood pressure.,그 사람은 저혈압에 시달리고 있어.
You're the last hope for humanity.,넌 인류의 마지막 희망이야.
I read a French book.,난 프랑스 책을 읽었어.
Ignorant people tend to be arrogant.,무지한 사람은 오만한 경향이 있어.
Is that OK?,괜찮은 거예요?
Someone came.,누군가 왔어.
Tom doesn't like volleyball very much.,톰은 배구를 별로 좋아하지 않는다.
I'm bigger than you.,나는 너보다 크다.
I think it'll be sunny tomorrow.,내일은 해가 뜰 것 같아.
Don't let them hurt Tom.,그들이 톰을 다치게 하도록 놔두지 마.
He left the office without saying a word to anyone.,그는 사람들에게 말 한 마디 없이 사무실을 떠났다.
I don't know what Tom is so upset about.,톰이 뭐 때문에 그렇게 화났는지 모르겠어.
Please sit here and wait.,여기 앉아서 기다려 주세요.
Tom noticed a change in Mary.,톰은 메리의 변화를 눈치챘다.
Tom had to rent a car.,톰은 차를 빌려야 했다.
I got up at seven.,난 일곱 시에 일어났어.
"You might at least say ""thank you.""","적어도 ""고마워""라고는 해줘야지."
"Another bottle of wine, please.",와인 한 병 더 주세요.
I like studying languages.,언어를 공부하는 게 좋아요.
It's not as difficult as you think.,그건 생각보다 안 어려워.
I don't like your friends.,나는 네 친구가 마음에 들지 않는다.
Life is like a game of chess.,인생은 체스 한 판과도 같다.
Say cheese.,김치~
I attended his funeral.,나는 그의 장례식에 참석했다.
"When the bus swerved to miss a cat, the driver said, ""That was close.""","고양이를 비켜가기 위해 버스가 방향을 틀었을 때, 운전기사는 ""큰일날 뻔했네""라고 말했다."
I want to go out with Tom.,나는 톰과 사귀고 싶다.
A bird can fly.,새는 날 수 있다.
Do you like cooking?,요리 좋아해?
My mother has four brothers.,우리 어머니는 남자 형제가 넷이다.
You're still a beginner.,너는 아직도 초보야.
Tom doesn't care how crazy he looks.,톰은 자기가 얼마나 미쳐보이는지 신경 안 써.
Is Tom ill?,톰은 아파?
The ice melted.,얼음이 녹았어.
Who's playing the violin?,누가 바이올린을 연주하고 있어?
Follow me.,따라와.
Is it true you had a fight with Tom?,너 톰이랑 싸운 거 맞아?
When's your birthday?,당신의 생일은 언제인가요?
I can't put up with the noise.,나는 저 소음을 참을 수 없다.
The snow melts in spring.,눈은 봄에 녹아.
Tom baked three pies.,톰은 파이를 세개 구웠어.
She is watering the flowers.,그는 꽃에 물을 주고 있어.
No one believed me.,아무도 날 믿지 않았어.
Let's hope Tom is smart.,톰이 똑똑하길 빌자.
What do you think of Tom's new car?,톰의 새로운 자동차에 대해 어떻게 생각해?
Tom divided the pie into three equal parts.,톰은 파이를 삼등분으로 나눴다.
Join us.,우리와 함께 하자.
I'm kidding.,농담이야.
I don't want pizza. I'm not hungry.,피자는 됐어. 배고프지 않아.
Who painted these pictures?,누가 이 그림을 그렸을까?
I know I'm going to learn a lot.,내가 많이 배우게 될 거라는 걸 알고 있어.
Why not?,왜 아니야?
I'm too old to dance.,난 춤을 추기엔 너무 늙었어.
Does anybody here know how this thing works?,이걸 어떻게 하는지 아는 사람?
Do you like English?,영어 좋아해요?
I really love French books.,난 프랑스 책들을 정말 좋아해.
Be careful not to make that same mistake again.,똑같은 실수를 반복하지 않도록 조심해.
Tom said that Mary seemed to be drunk.,톰이 메리가 술에 취해 보인다고 말했어.
I don't like Christmas anymore.,나는 더 이상 크리스마스를 좋아하지 않는다.
This grocery store only sells organic food.,이 슈퍼마켓에선 오직 유기농 음식만 팔아.
I'm too busy to see Tom.,나는 너무 바빠서 톰을 못 봐.
You must do your duty.,너는 네 의무를 다해야 한다.
We are sick.,우리는 아프다.
I'm sorry about last night.,어젯밤 일은 미안해.
The answer is yes.,대답은 그렇다이다.
Is there anything you want to tell me?,뭔가 하고 싶은 얘기 없어?
My brother is a professor.,내 형은 교수야.
I had to give up my plan.,나는 내 계획을 포기해야 했다.
Nobody said that.,아무도 그런 얘기 한 적 없다.
All people are born equal.,모든 사람은 평등하게 태어났어.
He sat on the bed.,그는 침대에 앉았다.
I've made some mistakes.,실수를 몇 가지 저질렀다.
It's time to go to bed.,잠잘 시간이야.
Is there anyone here who speaks French?,프랑스어 할 줄 아는 사람 여기 있어?
I use this all the time.,나는 항상 이걸 쓴다.
I don't know and I don't want to know.,알지도 못할 뿐더러 알고 싶지도 않다.
They love me.,그들은 나를 사랑한다.
Tom volunteered to pay for the damages.,탐은 손해배상금을 지불할 것을 자청했다.
Walking the dog is my responsibility.,개와 산책하는 것은 내 책임이야.
I might have a chance to do that soon.,곧 그걸 해볼 기회가 있을지도 모르겠어.
Is that too hard for you?,너한테 너무 어려워?
I should've come with you.,너랑 같이 갔어야 했는데.
We were in Boston.,우리는 보스턴에 있었다.
Coconuts have a hard shell.,코코넛은 껍질이 단단해.
I'd like to change my reservation.,예약을 변경하고 싶습니다.
That's suicide.,그것은 자살입니다.
Who taught you music?,누가 너한테 음악을 가르쳤어?
We'll get there in three hours.,3시간 안에 거기에 도착할 겁니다.
That hurts.,아파.
Nice to meet you.,반갑습니다.
We enjoyed listening to the music.,우리는 음악 감상을 즐겼다.
Why are you acting so crazy?,너 왜 그렇게 미친 사람처럼 행동해?
Do you want to go out or stay at home? Either is OK with me.,나갈까 집에 있을까? 난 어느 쪽이든 상관없다.
It's very sad indeed.,말 그대로 너무 슬프네.
Keep driving.,계속 운전하고 있어봐.
Thank you for your efforts.,수고했어.
I'll never tell you.,나는 결코 너에게 말하지 않을 것이다.
Sing us a song.,우리에게 노래를 불러줘.
Tom likes to wear dark colors.,톰은 검은색 옷을 입는 걸 좋아해.
They were rescued by helicopter.,그들은 헬리콥터로 구조됐다.
Let's begin with the first chapter.,1장부터 시작해 보자.
How is this fair?,이게 어째서 공평해?
Relax for a second.,잠깐만 진정해 봐.
My mom likes my brother more than me.,우리 엄마는 나보다 동생을 더 좋아해.
I think that that's hard to answer.,이건 대답하기 어려울 것 같아.
That's really all that I want to say to you.,내가 너에게 하고 싶은 말은 정말로 그게 전부다.
Do you like doing crossword puzzles?,당신은 십자말풀이를 좋아하십니까?
Tom should take an umbrella because it looks like rain.,비가 오는 것 같으니 톰은 우산을 갖고 가는 게 좋을 것이다.
Tom is trying to avoid drinks with sugar.,톰은 설탕있는 음료수를 피하려고 한다.
I don't think Tom will be ready to do that until next year.,나는 톰이 내년까지 그에 대해 준비될 거라고 생각하지 않는다.
He left three days ago.,그는 사흘 전에 떠났다.
I just felt like hearing the sound of your voice.,다만 네 목소리가 좀 듣고 싶었다.
I have some English books.,제게 영어책이 몇권 있습니다.
That mountain is about three thousand meters high.,저 산은 높이가 약 3천 미터다.
Everybody loves music.,누구든 음악을 사랑한다.
We have a white cat.,우린 하얀색 고양이를 가지고 있어.
Tom hopes to be rich and famous someday.,톰은 언젠가 돈도 많고 유명해지길 바란다.
A blood vessel burst inside his brain.,그 사람의 뇌 안에 혈관이 터졌어.
We have lots to do.,우리는 해야 할 게 많다.
Please make the bed.,이불을 정리해 주세요.
Tom suffers from chronic back pain.,톰은 만성 요통에 시달리고 있어.
Why are you acting so strange?,너 왜 그렇게 이상하게 굴어?
Tom's weird.,톰은 이상하다.
Astronomy is by no means a new science.,천문학은 결코 신생 과학이 아니야.
Nobody was home.,집에 아무도 없었다.
Tom doesn't like that dog.,톰은 그 개를 좋아하지 않는다.
I think that we're still too young.,우린 아직 너무 어린 것 같아.
What if I'm right?,내가 옳았다면?
Smile.,웃어.
His face was red.,그 사람 얼굴은 빨갰어.
I took the subway yesterday.,난 어제 지하철을 탔어.
Stop looking at me.,나좀 그만 봐.
How often do you visit your grandparents?,얼마나 자주 조부모님을 방문하니?
"I'm sorry, but I don't understand.","죄송하지만, 이해하지 못하겠어요."
Money talks.,돈이 최고야.
Tom has been sleeping in his car.,톰은 자기 차에서 자고 있었어.
I don't like Tom anymore.,나는 톰을 더 이상 안 좋아해.
"You haven't ever been to Australia, have you?",너 한번도 호주에 안 가봤지?
Whose dictionary is this?,이건 누구 사전입니까?
It's been a very long day.,정말 긴 하루였다.
I understand what you mean.,네가 무슨 말 하려는 지는 알겠어.
Tom pulled out an old shoebox from his closet and opened it.,톰은 벽장에서 헌 구두상자를 꺼내 열었다.
I can't shake off my cold.,감기가 안나아.
Let's see if we can get inside.,우리가 안으로 들어갈 수 있는지 보자.
Give me my sword.,내 검을 줘.
I don't have time for you.,당신과 함께 할 시간은 없습니다.
A full moon can be seen tonight.,오늘밤엔 보름달을 볼 수 있어.
It rained.,비가 내렸어.
Take it easy!,걱정 마!
Tom listened.,톰이 듣고 있었어.
What do you think this sentence means?,이 문장이 무슨 뜻인 것 같아?
I'm just happy to see you.,널 만나서 그저 기쁘다.
I know Tom is a very good chess player.,나는 톰이 체스를 아주 잘 둔다는 것을 알고 있어.
Keep quiet.,조용히 해.
What's the difference between religion and philosophy?,종교와 철학의 차이점은 무엇입니까?
Tom seemed to understand French.,톰은 프랑스어를 이해하는 듯 보였다.
I managed to crack the code.,난 코드를 간신히 해독했어.
Tom grinned.,톰이 씨익 웃었어.
The tire factory employs 250 people.,그 타이어 공장은 250명을 고용한다.
May I see your license?,당신의 라이센스를 봐도 되겠습니까?
He is a famous artist.,그는 유명한 아티스트다.
"All in all, I thought it was a good book.",전체적으로 봤을 때 좋은 책이라고 생각했다.
Get up.,일어나.
The news spread all over Japan.,그 뉴스는 일본 전역으로 퍼져나갔다.
Didn't I tell you to close the door?,너한테 문 닫았다고 말해주지 않았나?
Tom refused to talk to Mary.,톰은 마리랑 대화하는 것을 거절했어.
You'll never pass.,너는 결코 통과하지 못해.
He escaped from prison.,그가 탈옥했다.
I've done all I can to help you. The rest is up to you.,내가 도울 수 있는 것은 다 했어. 나머지는 너에게 달렸어.
I've seen you on TV.,티비에서 봤어요.
Fog hung over the lake.,호수 위로 안개가 꼈다.
I thought something was wrong.,나는 뭔가가 잘못되었다고 생각했다.
Tom moves quickly.,톰은 빨리 움직이네.
I've never been so proud of you.,네가 이렇게 자랑스러운 적은 없었다.
Follow us.,따라오세요.
